# SAXS profile: number of points = 284, q_min = 0.0169308, q_max = 0.275656, delta_q = 0.00091422332155477
# offset = 0.00000000000000, scaling c = 0.000146868639982785, Chi = 1.79027883688561
#  q       exp_intensity   model_intensity
0.01693    361.80500000    343.63215083   
0.01785    357.06000000    341.17366863   
0.01876    348.80300000    338.61139623   
0.01967    346.88000000    335.94826525   
0.02059    345.84200000    333.18785176   
0.02150    345.29800000    330.35639090   
0.02242    340.81900000    327.43396194   
0.02333    334.95400000    324.40238849   
0.02424    332.41600000    321.28794207   
0.02516    329.95900000    318.09464251   
0.02607    326.92100000    314.82583193   
0.02699    323.95000000    311.48526508   
0.02790    321.77500000    308.07207326   
0.02882    314.29100000    304.59685361   
0.02973    307.02600000    301.06348176   
0.03064    301.95300000    297.47564834   
0.03156    300.08200000    293.83828031   
0.03247    297.11000000    290.15516116   
0.03339    291.43500000    286.43026651   
0.03430    287.19600000    282.66722149   
0.03522    284.36900000    278.87106557   
0.03613    278.99500000    275.05011044   
0.03704    274.51200000    271.23169960   
0.03796    269.46500000    267.35739511   
0.03887    265.21900000    263.46481820   
0.03979    261.63200000    259.55948803   
0.04070    255.16500000    255.64512353   
0.04161    251.67500000    251.72539016   
0.04253    246.81500000    247.80378108   
0.04344    244.40800000    243.88342684   
0.04436    238.38400000    239.96880957   
0.04527    234.78200000    236.06285501   
0.04619    230.54000000    232.16862735   
0.04710    227.12300000    228.29234870   
0.04801    226.28500000    224.45963664   
0.04893    222.12900000    220.62175302   
0.04984    217.66000000    216.80882423   
0.05076    210.88800000    213.02349112   
0.05167    204.40600000    209.26761143   
0.05259    201.45300000    205.54477927   
0.05350    200.16900000    201.85696974   
0.05441    196.85200000    198.20636201   
0.05533    194.95300000    194.60349312   
0.05624    190.55000000    191.05149673   
0.05716    185.15500000    187.52453546   
0.05807    182.96500000    184.04247825   
0.05899    176.30400000    180.60793877   
0.05990    172.34900000    177.22558174   
0.06081    170.29100000    173.89359208   
0.06173    168.47700000    170.61272150   
0.06264    164.16700000    167.38414751   
0.06356    161.22800000    164.22078974   
0.06447    157.45100000    161.10913897   
0.06538    155.30100000    158.04228075   
0.06630    153.70600000    155.03089161   
0.06721    150.26900000    152.07546903   
0.06813    147.97900000    149.17618542   
0.06904    145.73300000    146.33410014   
0.06996    141.77600000    143.55197333   
0.07087    136.37000000    140.84688571   
0.07178    134.83500000    138.18368143   
0.07270    132.48500000    135.57528071   
0.07361    131.17100000    133.02363275   
0.07453    129.61400000    130.52844255   
0.07544    126.13200000    128.08934324   
0.07636    123.45500000    125.71187156   
0.07727    122.22000000    123.39481750   
0.07818    121.09200000    121.12078256   
0.07910    116.51800000    118.90063963   
0.08001    113.65900000    116.73365521   
0.08093    110.96600000    114.62393538   
0.08184    108.80500000    112.57952778   
0.08275    106.66800000    110.57468596   
0.08367    104.73500000    108.61700450   
0.08458    104.54600000    106.70772808   
0.08550    103.63500000    104.84630129   
0.08641    102.36300000    103.03145110   
0.08733    100.52900000    101.26661487   
0.08824    99.36390000     99.55103202    
0.08915    96.87570000     97.86905843    
0.09007    94.60390000     96.22950857    
0.09098    94.94220000     94.63171796    
0.09190    93.77360000     93.07691643    
0.09281    91.33020000     91.57100050    
0.09373    87.71390000     90.09427525    
0.09464    86.62820000     88.65124609    
0.09555    86.25080000     87.24327152    
0.09647    86.84460000     85.87478005    
0.09738    84.24690000     84.53958972    
0.09830    83.31250000     83.22972793    
0.09921    83.92900000     81.95033555    
0.10013    82.28970000     80.70021828    
0.10104    80.26340000     79.47907065    
0.10195    78.46360000     78.29638398    
0.10287    76.34970000     77.12991713    
0.10378    74.55540000     75.98918192    
0.10470    73.77610000     74.87255085    
0.10561    74.08590000     73.78509890    
0.10652    73.55140000     72.71622213    
0.10744    73.60370000     71.66571985    
0.10835    70.94100000     70.63552655    
0.10927    70.03220000     69.62735196    
0.11018    69.34000000     68.64234682    
0.11110    68.48480000     67.66700134    
0.11201    66.72440000     66.70988636    
0.11292    66.57150000     65.77057010    
0.11384    66.17180000     64.85483883    
0.11475    64.92640000     63.94671413    
0.11567    64.61360000     63.05248616    
0.11658    63.17670000     62.17207359    
0.11750    62.25820000     61.30903754    
0.11841    60.17690000     60.45866063    
0.11932    58.98400000     59.61515879    
0.12024    57.99300000     58.78432727    
0.12115    57.48660000     57.96619700    
0.12207    56.83510000     57.16439068    
0.12298    57.24180000     56.36558921    
0.12390    56.62800000     55.57843765    
0.12481    54.85370000     54.80106363    
0.12572    53.44340000     54.03880005    
0.12664    51.85020000     53.28217743    
0.12755    51.71580000     52.53144950    
0.12847    51.92360000     51.79365804    
0.12938    51.98290000     51.06482412    
0.13029    51.69850000     50.34025940    
0.13121    50.11280000     49.62292603    
0.13212    48.86830000     48.91518926    
0.13304    48.36960000     48.22055157    
0.13395    47.60360000     47.52778552    
0.13487    46.81720000     46.84283599    
0.13578    47.38350000     46.16971809    
0.13669    46.77120000     45.50089728    
