# SAXS profile: number of points = 266, q_min = 0.00687439, q_max = 0.249143, delta_q = 0.000914221169811321
# offset = -0.537249477929710, scaling c = 7.90594887954200e-05, Chi = 4.06872558310745
#  q       exp_intensity   model_intensity
0.00687    187.61000000    174.94114032   
0.00779    187.98000000    174.49431452   
0.00870    175.00000000    173.99404978   
0.00962    190.38000000    173.44081257   
0.01053    196.71000000    172.83518044   
0.01145    202.69000000    172.17782522   
0.01236    209.30000000    171.46937594   
0.01327    197.48000000    170.71055776   
0.01419    196.75000000    169.90202880   
0.01510    196.09000000    169.04621988   
0.01602    197.22000000    168.15325949   
0.01693    190.53000000    167.19722957   
0.01785    191.05000000    166.19425867   
0.01876    191.15000000    165.14656269   
0.01967    190.28000000    164.05503296   
0.02059    186.84000000    162.92083774   
0.02150    182.21000000    161.74500902   
0.02242    182.03000000    160.52858616   
0.02333    180.03000000    159.27306300   
0.02424    174.78000000    157.97947560   
0.02516    176.61000000    156.64914709   
0.02607    172.76000000    155.28309388   
0.02699    166.80000000    153.88252723   
0.02790    167.65000000    152.45760785   
0.02882    168.70000000    150.99134837   
0.02973    167.38000000    149.49396932   
0.03064    165.01000000    147.96796872   
0.03156    158.15000000    146.41506285   
0.03247    153.61000000    144.83658380   
0.03339    150.10000000    143.23390774   
0.03430    150.83000000    141.60823332   
0.03522    145.10000000    139.96396638   
0.03613    149.67000000    138.30638941   
0.03704    149.20000000    136.62127593   
0.03796    140.33000000    134.91844487   
0.03887    139.44700000    133.19946414   
0.03979    143.64100000    131.46688910   
0.04070    139.93300000    129.72216214   
0.04161    134.73700000    127.97325983   
0.04253    130.36100000    126.21246555   
0.04344    126.24600000    124.43936755   
0.04436    121.90600000    122.65996592   
0.04527    120.87600000    120.87545873   
0.04619    119.20100000    119.08719306   
0.04710    120.68700000    117.29737401   
0.04801    118.04300000    115.51456494   
0.04893    116.10600000    113.72336931   
0.04984    115.03900000    111.93403029   
0.05076    112.17400000    110.14789882   
0.05167    108.01700000    108.36595919   
0.05259    110.82000000    106.59527033   
0.05350    103.15000000    104.82977810   
0.05441    101.26400000    103.06840263   
0.05533    100.19900000    101.31593596   
0.05624    100.33000000    99.57595311    
0.05716    98.09300000     97.85177318    
0.05807    92.31490000     96.13317975    
0.05899    92.83810000     94.42811964    
0.05990    88.50790000     92.73853422    
0.06081    84.01600000     91.07105898    
0.06173    83.42600000     89.41472313    
0.06264    83.20500000     87.77400296    
0.06356    82.74190000     86.15087416    
0.06447    82.72300000     84.55009032    
0.06538    80.86300000     82.96910830    
0.06630    80.37790000     81.40407820    
0.06721    74.86100000     79.85971751    
0.06813    76.38700000     78.33735116    
0.06904    76.12900000     76.84218500    
0.06996    68.67400000     75.36431357    
0.07087    68.33000000     73.91045735    
0.07178    66.68000000     72.47975913    
0.07270    68.06100000     71.07748609    
0.07361    65.82600000     69.69661524    
0.07453    64.75500000     68.33808319    
0.07544    63.52800000     67.00682398    
0.07636    60.44900000     65.70092691    
0.07727    61.68990000     64.41670812    
0.07818    59.80600000     63.15865511    
0.07910    56.55800000     61.92952575    
0.08001    53.58700000     60.72079871    
0.08093    53.31500000     59.53990100    
0.08184    50.76200000     58.38918943    
0.08275    50.20400000     57.26004893    
0.08367    50.36690000     56.15527608    
0.08458    47.02600000     55.07854738    
0.08550    47.33900000     54.02604476    
0.08641    48.94400000     52.99617658    
0.08733    49.40800000     51.99250603    
0.08824    43.84900000     51.01491049    
0.08915    44.91000000     50.05805311    
0.09007    41.77500000     49.12549308    
0.09098    40.40700000     48.22085001    
0.09190    40.49200000     47.33709989    
0.09281    39.11300000     46.47607897    
0.09373    40.59100000     45.64064605    
0.09464    40.45100000     44.82524685    
0.09555    39.54200000     44.03259493    
0.09647    39.91800000     43.26070257    
0.09738    35.93300000     42.50762312    
0.09830    35.66600000     41.77611868    
0.09921    36.24500000     41.06605429    
0.10013    33.59590000     40.37286954    
0.10104    31.81700000     39.70161957    
0.10195    31.69100000     39.04635023    
0.10287    31.75400000     38.40888346    
0.10378    30.63100000     37.79220818    
0.10470    28.29300000     37.19021273    
0.10561    29.15500000     36.60558113    
0.10652    28.27200000     36.03518287    
0.10744    26.80510000     35.48062626    
0.10835    26.96000000     34.94097558    
0.10927    25.64300000     34.41345021    
0.11018    25.68100000     33.89999882    
0.11110    25.14900000     33.40098729    
0.11201    23.77500000     32.91238542    
0.11292    23.77700000     32.43948571    
0.11384    23.15300000     31.97547604    
0.11475    25.56900000     31.52373940    
0.11567    25.41800000     31.08126276    
0.11658    26.87800000     30.64954923    
0.11750    24.78700000     30.22664397    
0.11841    23.71900000     29.81249224    
0.11932    22.49200000     29.40680073    
0.12024    20.84800000     29.00846990    
0.12115    21.18300000     28.61913499    
0.12207    18.54400000     28.23496397    
0.12298    20.95600000     27.85940869    
0.12390    18.43000000     27.48866514    
0.12481    18.23100000     27.12567069    
0.12572    16.97100000     26.76664967    
0.12664    17.27400000     26.41378283    
0.12755    18.85800000     26.06461811    
0.12847    18.30400000     25.72052450    
0.12938    18.45100000     25.38076560    
0.13029    17.93900000     25.04427132    
0.13121    18.52600000     24.71190565    
0.13212    17.22400000     24.38189786    
0.13304    19.25100000     24.05670927    
0.13395    16.62900000     23.73260513    
0.13487    16.84800000     23.41311797    
0.13578    15.94700000     23.09416167    
0.13669    16.09500000     22.77897861    
0.13761    14.67600000     22.46509323    
0.13852    18.80700000     22.15359869    
0.13944    18.81200000     21.84439719    
0.14035    16.54100000     21.53657778    
0.14127    13.42600000     21.22980620    
0.14218    15.72300000     20.92548858    
0.14309    16.73900000     20.62149233    
0.14401    16.55400000     20.32000064    
0.14492    16.34400000     20.01883045    
0.14584    15.08800000     19.72050804    
0.14675    15.10600000     19.42367122    
0.14766    14.98300000     19.12668589    
0.14858    12.61100000     18.83191610    
0.14949    13.16700000     18.53829123    
0.15041    14.32600000     18.24606421    
0.15132    14.80900000     17.95611627    
0.15224    16.00800000     17.66698680    
0.15315    14.26100000     17.37891590    
0.15406    12.43100000     17.09358838    
0.15498    13.67200000     16.81003883    
0.15589    12.55400000     16.52675224    
0.15681    12.20800000     16.24687624    
0.15772    12.69300000     15.96806443    
0.15863    14.11600000     15.69196047    
0.15955    12.31100000     15.41838388    
0.16046    11.71300000     15.14621696    
0.16138    13.04800000     14.87668025    
0.16229    13.87500000     14.61029936    
0.16321    15.34800000     14.34627347    
0.16412    14.01800000     14.08399633    
0.16503    13.87010000     13.82582859    
0.16595    14.13700000     13.57079709    
0.16686    13.44700000     13.31797421    
0.16778    14.14700000     13.06917221    
0.16869    12.66500000     12.82365430    
0.16961    12.23100000     12.58119192    
0.17052    12.30200000     12.34250224    
0.17143    12.33900000     12.10789670    
0.17235    12.50700000     11.87644278    
0.17326    12.56700000     11.64881216    
0.17418    12.53300000     11.42583580    
0.17509    11.81200000     11.20687164    
0.17600    11.80900000     10.99196689    
0.17692    12.76800000     10.78073439    
0.17783    10.81000000     10.57484166    
0.17875    10.43900000     10.37340281    
0.17966    11.70400000     10.17584279    
0.18058    11.27400000     9.98294073     
0.18149    11.93200000     9.79506979     
0.18241    10.68100000     9.61178017     
0.18332    8.41302000      9.43294087     
0.18423    9.74603000      9.25850270     
0.18515    10.94100000     9.08915284     
0.18606    11.18600000     8.92473406     
0.18698    11.22900000     8.76520668     
0.18789    9.57404000      8.61011714     
0.18881    10.21800000     8.46029427     
0.18972    9.41101000      8.31538210     
0.19063    8.53796000      8.17530613     
0.19155    11.71800000     8.03956491     
0.19246    11.42500000     7.90858785     
0.19338    9.99097000      7.78246586     
0.19429    11.74100000     7.66108210     
0.19520    11.66300000     7.54431683     
0.19612    10.00700000     7.43199490     
0.19703    11.42700000     7.32357195     
0.19795    10.99100000     7.22049600     
0.19886    9.07202000      7.12194668     
0.19978    8.61005000      7.02761422     
0.20069    8.54895000      6.93748126     
0.20160    8.49500000      6.85100067     
0.20252    7.53595000      6.76874210     
0.20343    9.89496000      6.69061986     
0.20435    10.20400000     6.61630011     
0.20526    9.49896000      6.54559879     
0.20617    7.35602000      6.47855119     
0.20709    8.78900000      6.41497756     
0.20800    8.48102000      6.35438167     
0.20892    9.71002000      6.29788969     
0.20983    11.36800000     6.24441492     
0.21075    9.88098000      6.19400980     
0.21166    9.43201000      6.14650983     
0.21257    10.46400000     6.10175359     
0.21349    10.22000000     6.05960370     
0.21440    9.10400000      6.01988533     
0.21532    8.68903000      5.98249434     
0.21623    9.24402000      5.94761962     
0.21715    9.41400000      5.91489194     
0.21806    7.66699000      5.88418521     
0.21897    8.50800000      5.85543388     
0.21989    7.13702000      5.82861307     
0.22080    8.04596000      5.80345904     
0.22172    9.48999000      5.77979836     
0.22263    10.78600000     5.75731849     
0.22354    8.90900000      5.73622498     
0.22446    9.51703000      5.71648208     
0.22537    9.46301000      5.69781550     
0.22629    9.16998000      5.68008402     
0.22720    7.69202000      5.66328072     
0.22812    7.63397000      5.64720997     
0.22903    8.57904000      5.63178731     
0.22995    8.18201000      5.61698871     
0.23086    8.37500000      5.60269532     
0.23177    8.93396000      5.58876091     
