# SAXS profile: number of points = 386, q_min = 0.00962, q_max = 0.36159, delta_q = 0.000914207792207792
# offset = 0.00000000000000, scaling c = 0.000635772207232297, Chi = 2.14115476608276
#  q       exp_intensity   model_intensity
0.00962    1510.16000000   1524.93744342  
0.01053    1497.54000000   1516.68351138  
0.01145    1491.04000000   1507.65234770  
0.01236    1488.72000000   1498.05616539  
0.01327    1478.64000000   1487.81730176  
0.01419    1466.56000000   1476.82744738  
0.01510    1453.86000000   1465.34910451  
0.01602    1438.58000000   1453.14315700  
0.01693    1428.91000000   1440.68342122  
0.01785    1417.78000000   1427.29458045  
0.01876    1402.58000000   1413.52662854  
0.01967    1390.33000000   1399.26237087  
0.02059    1371.28000000   1384.36178823  
0.02150    1357.93000000   1369.17046516  
0.02242    1335.68000000   1353.37987228  
0.02333    1321.26000000   1337.35916291  
0.02424    1307.58000000   1320.96382059  
0.02516    1292.42000000   1304.03198100  
0.02607    1274.03000000   1286.95936679  
0.02699    1258.87000000   1269.39188590  
0.02790    1240.43000000   1251.71996049  
0.02882    1223.03000000   1233.61176193  
0.02973    1201.48000000   1215.67631322  
0.03064    1186.35000000   1197.35799571  
0.03156    1169.58000000   1178.67291183  
0.03247    1149.62000000   1160.05306571  
0.03339    1134.94000000   1141.11473992  
0.03430    1117.11000000   1122.29432430  
0.03522    1098.15000000   1103.20357175  
0.03613    1079.33000000   1084.28118976  
0.03704    1063.81000000   1065.34391903  
0.03796    1036.90000000   1046.37398815  
0.03887    1021.09000000   1027.47969545  
0.03979    1011.22000000   1008.43358211  
0.04070    991.81200000    989.67349206   
0.04161    969.80200000    971.01096511   
0.04253    948.30000000    952.26180100   
0.04344    928.42500000    933.85272853   
0.04436    911.88400000    915.54428125   
0.04527    897.36400000    897.45818575   
0.04619    879.42500000    879.36269725   
0.04710    866.95600000    861.66644633   
0.04801    848.19300000    844.18582129   
0.04893    827.80200000    826.76924406   
0.04984    810.70800000    809.79187534   
0.05076    795.61200000    793.01348343   
0.05167    780.95200000    776.55811896   
0.05259    766.53100000    760.20214323   
0.05350    751.44400000    744.31071427   
0.05441    734.46000000    728.71093554   
0.05533    719.92900000    713.24358714   
0.05624    703.24700000    698.36287830   
0.05716    691.36000000    683.51894118   
0.05807    680.88500000    669.14940319   
0.05899    666.41900000    654.95020439   
0.05990    649.81600000    641.25584428   
0.06081    635.17200000    627.98447158   
0.06173    626.85500000    614.78810903   
0.06264    617.96500000    602.06010593   
0.06356    605.57800000    589.51722916   
0.06447    591.61600000    577.43208639   
0.06538    576.36700000    565.75593096   
0.06630    563.15100000    554.17672671   
0.06721    550.21900000    543.03524421   
0.06813    538.35200000    532.08491781   
0.06904    532.71300000    521.64150496   
0.06996    522.92500000    511.31394357   
0.07087    512.30400000    501.40770966   
0.07178    504.25600000    491.78583158   
0.07270    490.35700000    482.34102492   
0.07361    481.40100000    473.35035179   
0.07453    472.59700000    464.45068393   
0.07544    463.41400000    455.90713430   
0.07636    455.75900000    447.52486752   
0.07727    447.16300000    439.54945969   
